Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM DUP;23380385;16;Notes pour plus tard;;Dupré;Emma;Tuteur de mémoire : Jean-François Gavoty;2021;fre;;;;;;Haute école des arts du Rhin;;Art du verre;Art de performance;Art collectif;;;Mémoire de DNSEP option Art, mention Objet, atelier Verre;
MEM LEM;23380397;16;Le scroll des restes;;Le Maître;Yoshikazu Goulven;Tuteur de mémoire : Jean-François Gavoty;2021;fre;;;;;;Haute école des arts du Rhin;;Animaux;Spécisme;Environnement;;;Mémoire de DNSEP option Art, mention Objet, atelier Métal;
MEM POU;23380402;16;Ca et là;;Pourcher;Manon;Tuteur de mémoire : Jean-François Gavoty;2021;fre;;;;;;Haute école des arts du Rhin;;Pierre;Bijoux;;;;Mémoire de DNSEP option Art, mention Objet, atelier Bijou;
MEM PAK;23380414;16;Avant de m'endormir, une boucle d'oreille est tombée;;Pak;Ha;Tuteur de mémoire : Jean-François Gavoty;2021;fre;;;;;;Haute école des arts du Rhin;;Rêves;;;;;Mémoire de DNSEP option Art, mention Objet, atelier Terre;
MEM DES;23380426;16;Je ne trouve pas, je cherche;;Descours;Sélia;Tuteur de mémoire : Anne Bertrand;2021;fre;Broodthaers, Marcel (1924-1976);Morris, Robert (1931-....);Rainer, Yvonne (1934-....);Levé, Édouard (1965-2007);;Haute école des arts du Rhin;;Artistes;;;;;Mémoire de DNSEP option Art, mention Objet, atelier Bijou;
MEM ZHA;23380438;16;Au-delà du filtre visage;;Zhang;Yifan;Tuteur de mémoire : Oh Eun Lee;2021;fre;;;;;;Haute école des arts du Rhin;;Photographie numérique;Photographie;;;;Mémoire de DNSEP option Art atelier Narraction;
MEM BAT;2338044X;16;Un chariot nommé corps;;Battocchi;Mélanie;Tuteur de mémoire : Jean-François Gavoty;2021;fre;;;;;;Haute école des arts du Rhin;;Art du verre;Art de performance;Corps humain;;;Mémoire de DNSEP option Art, mention Objet, atelier Verre;
MEM MOR;23380451;16;J'ai écrit les bords de mon propos,...;;Morel;Gladys;Tuteur de mémoire : Philippe Lepeut;2021;fre;;;;;;Haute école des arts du Rhin;;Répétition (esthétique);Son;;;;Mémoire de DNSEP option Art atelier Phonon;
MEM AUD;23380463;16;La fête tous les jours;;Audétat;Gabriel;Tuteur de mémoire : Francisco Ruiz de Infante;2021;fre;;;;;;Haute école des arts du Rhin;;Fêtes;Rave-parties;;;;Mémoire de DNSEP option Art atelier Hors Format;
MEM MIC;23380475;16;Itinéraire à double sens;;Michels;Marie;Tuteur de mémoire : Sandrine Israel-Jost et Oh Eun Lee;2021;fre;;;;;;Haute école des arts du Rhin;;Voyage;Urbanisme;Dessin;;;Mémoire de DNSEP option Art atelier Narraction;
MEM CLA;23380487;16;Quand l'envie dépasse la peur;A la recherche d'émancipations personnelles et collectives;Clamen;Garance;Tuteur de mémoire : Philippe Lepeut;2021;fre;;;;;;Haute école des arts du Rhin;;Maquillage;Peau;Réseaux sociaux;;;Mémoire de DNSEP option Art atelier Phonon;
MEM KIM;23380499;16;Ses symptômes*;;Kim;Dlelim;Tuteur de mémoire : Anne Bertrand;2021;fre;;;;;;Haute école des arts du Rhin;;Artistes;Habitude (philosophie);Bonheur;;;Mémoire de DNSEP option Art atelier Hors Format;
MEM SPA;23380504;16;A la croisée des flux;;Spaulding;Nathalie;Tuteur de mémoire : Nicolas Fourgeaud;2021;fre;;;;;;Haute école des arts du Rhin;;Écriture;Lecture;Parole;;;Mémoire de DNSEP option Art atelier Hors Format;
MEM LAC;23380516;16;La résidence;;Lacoste;Estelle;Tuteur de mémoire : Thomas Voltzenlogel;2021;fre;;;;;;Haute école des arts du Rhin;;Troubles dissociatifs et amnésie (médecine);Fiction dans l'art;;;;Mémoire de DNSEP option Art atelier Narraction;
MEM SAU;23380528;16;Ouvrir l'intime;;Sauvageot;Lola;Tuteur de mémoire : Anne Laforet;2021;fre;;;;;;Haute école des arts du Rhin;;Journal intime;Intimité (psychologie);Sociologie du quotidien;;;Mémoire de DNSEP option Art atelier Narraction;
MEM CAN;2338053X;16;Images contemplatives;Du Ma à la nature : un retour sur soi;Cantone;Adrien;Mémoire dirigé par Joseph Béhé;2021;fre;Oshii, Mamoru (1951-....);Eisenstein, Sergueï Mikhaïlovitch (1898-1948);;;;Haute école des arts du Rhin;;Animation (cinéma);Esthétique;;;;Mémoire DNSEP Illustration année 2020/2021;
MEM GOS;23380541;16;Il y a un canard debout dans l'eau;;Gosset;Paul;Tuteur de mémoire : Francisco Ruiz de Infante;2021;fre;;;;;;Haute école des arts du Rhin;;Marche;Radio;Ligne (art);;;Mémoire de DNSEP option Art atelier Hors Format;
MEM OLI;23381751;16;Un ano de amor;avec PJ.Horny, Béliermainsdemodèle;Oliveras;Garance;Tuteur de mémoire : Lidwine Prolonge;2020;fre;;;;;;Haute école des arts du Rhin;;Théorie queer;Homosexualité;Écriture;;;Mémoire de DNSEP option Art atelier No name;
MEM TCV;23381775;16;Aperçu de la science de l'odorat - Art olfactif;;Tcvetkova;Kapitolina;Tuteur de mémoire : Philippe Lepeut;2020;fre;;;;;;Haute école des arts du Rhin;;Odorat;Odeurs;;;;Mémoire de DNSEP option Art atelier La Fabrique;
MEM WEI;23381787;16;Une stratégie de la boue;Lieux/Peintures;Weiss;Kelly;Tuteur de mémoire : Philippe Lepeut;2020;fre;;;;;;Haute école des arts du Rhin;;Peinture;Art dans la rue;Lieu (philosophie);;;Mémoire de DNSEP option Art atelier Peintures;
MEM VIN;23381799;16;Qui est Told, qui est tu;;Viney;Danaé;Tuteur de mémoire : Thomas Soriano;2020;fre;Hitchcock, Alfred (1899-1980;;;;;Haute école des arts du Rhin;;Cinéma et littérature;;;;;Mémoire de DNSEP option Art atelier Farmteam/Storyteller;
MEM MAT;23381804;16;Dispersions;;Matthey-Mesa;Félix;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Photographie argentique;Photographie;;;;Mémoire de DNSEP option Art atelier La Fabrique;
MEM NIE;23381816;16;Bien relié.e.s;les lieux qui transforment;Nier-Nantes;Anouk;Tuteur de mémoire : Nicolas Fourgeaud;2020;fre;;;;;;Haute école des arts du Rhin;;Philosophie de la nature;Art et écologie;Environnement;;;Mémoire de DNSEP option Art atelier No Name;
MEM GAR;23381828;16;Pragma;rares pensées romantiques;Garcia;Cléo;Tuteur de mémoire : Philippe Lepeut;2020;fre;;;;;;Haute école des arts du Rhin;;Peinture;Création (esthétique);Dessin sous-jacent;;;Mémoire de DNSEP option Art atelier Peintures;
MEM HAD;2338183X;16;Le Loup et le figuier;;Hadjeras;Ludovic;Tuteur de mémoire : Anne Bertrand;2020;fre;;;;;;Haute école des arts du Rhin;;loup;Nature;;Algérie;;Mémoire de DNSEP option Art atelier No Name;
MEM FIL;23381841;16;Vers une autre attention aux images;Regards, récits, contextes;Filloux;Zoé;Tuteur de mémoire : Thomas Voltzenlogel;2020;fre;Meiselas, Susan (1948-....);;;;;Haute école des arts du Rhin;;Photographie documentaire;Illustrations, images, etc.;;;;Mémoire de DNSEP option Art atelier No Name;
MEM MAT;23381853;16;Bateaux, mer;;Mathis;Sarane;Tuteur de mémoire : Anne Bertrand;2020;fre;Morley, Malcolm (1931-2018);Dean, Tacita (1965-....);Ader, Bas Jan (1942-1975);;;Haute école des arts du Rhin;;Mer;;;;;Mémoire de DNSEP option Art atelier Peintures;
MEM VAN;23381865;16;Tourne au sol;;Vandoolaeghe;Jeanne;Tuteur de mémoire : Philippe Lepeut;2020;fre;;;;;;Haute école des arts du Rhin;;Art et écologie;Artistes;;;;Mémoire de DNSEP option Art atelier Peintures;
MEM LEI;23381877;16;Système-corps-mémoire;;Leite;Gabriel;Tuteur de mémoire : Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;Art de performance;;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM TIS;23381889;16;Feu-au-corps.hotglue.me;;Tissot;Léa;Tuteur de mémoire : Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM LHO;23381890;16;Faire ?;;L'Hospital;Anna;Tuteur de mémoire : Sandrine Israel-Jost;2020;fre;;;;;;Haute école des arts du Rhin;;Gestes;Diffusion culturelle;;;;Mémoire de DNSEP option Art atelier La Fabrique;
MEM BOU;23381906;16;Coudre la terre glaise encore fraîche;;Bouisson;Elie;Tuteur de mémoire : Sandrine Israel-Jost;2020;fre;;;;;;Haute école des arts du Rhin;;Objets usuels;Récupération;;;;Mémoire de DNSEP option Art atelier La Fabrique;
MEM MUE;23381918;16;Les Aventures de Galva;;Muel;Clara;Tuteur de mémoire : Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;Genre (biologie);Espace public (science politique);Violence;;;Mémoire de DNSEP option Art atelier Peintures;
MEM CAR;2338192X;16;Marguerite;Fleurir de fantômes nos chemins à venir;Caretti;Alexandre;Tuteur de mémoire : Nicolas Fourgeaud;2020;fre;;;;;;Haute école des arts du Rhin;;Historiographie;Art et histoire;;;;Mémoire de DNSEP option Art atelier No Name;
MEM TAL;23381931;16;Un itinéraire;;Tallaa;Keam;"Tuteur de mémoire : Anne Bertrand ; Traduit de l'arabe (Syrie) par Mathilde Lequenne";2020;fre;Guston, Philip (1913-1980);Nauman, Bruce (1941-....);Tuymans, Luc (1958-....);;;Haute école des arts du Rhin;;Exil;Violence politique;;;;Mémoire de DNSEP option Art atelier Peintures;
MEM EPA;23381943;16;Yalla !;;Epalle-Linde;Ninon;Tuteur de mémoire : Sandrine Israel-Jost;2020;fre;;;;;;Haute école des arts du Rhin;;Art;;;Israël;;Mémoire de DNSEP option Art atelier La Fabrique;
MEM FUE;23381955;16;Son = Amour;Approcher de nouvelles expériences - Cerner une position;Fuentes;Matthieu;Tuteur de mémoire : Joachim Montessuis;2020;fre;;;;;;Haute école des arts du Rhin;;Son;;;;;Mémoire de DNSEP option Art atelier Phonon;
MEM AGA;23381967;16;Conte contemporain;;Agard;Apolline;Tuteur de mémoire : Anne Bertrand;2020;fre;Vienne, Gisèle (1976-....);Cantor, Mircea (1977-....);Smith, Kiki (1954-....);;;Haute école des arts du Rhin;;Contes;;;;;Mémoire de DNSEP option Art atelier Peintures;
MEM PAU;23381979;16;L'idiot dissipe l'ego (?);La figure de l'idiot dans l'art & la vie;Paulin;Philippe;Tuteur de mémoire : Joachim Montessuis;2020;fre;;;;;;Haute école des arts du Rhin;;Idiotie;;;;;Mémoire de DNSEP option Art atelier Phonon;
MEM BON;23381980;16;Les limites du spectacle;;Bonvalot;LIsa;Tuteur de mémoire : Joachim Montessuis;2020;fre;;;;;;Haute école des arts du Rhin;;Théâtre;Espace (architecture);Espace (philosophie);;;Mémoire de DNSEP option Art atelier Phonon;
MEM BRU;23381992;16;Parce qu'il...;;Brunelle;Nicolas;Tuteur de mémoire : Thomas Soriano;2020;fre;;;;;;Haute école des arts du Rhin;;Langage et langues;;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM MEN;23382004;16;Comment on ouvre la porte;;Ménard-Salis;Arthur;Tuteur de mémoire : Nicolas Fourgeaud;2020;fre;;;;;;Haute école des arts du Rhin;;Art de performance;Écriture;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM LAN;23382016;16;C'est mieux dire mal dire;quatre entretiens et demi, deux frontières peut-être trois, auto-archives, X;Lanier;Katarina;Tuteur de mémoire : Francisco Ruiz de Infante;2020;fre;;;;;;Haute école des arts du Rhin;;Multiculturalisme;Art et danse;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM KHM;23382028;16;Tout est pour toujours jusqu'à ce qu'il ne soit plus;;Khmelnitskaya;Ksenia;Tuteur de mémoire : Dominique Auerbacher;2020;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM FAB;2338203X;16;L'acorps;;Fabry;Marie;Tuteur de mémoire : Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;Parfums;;;;;Mémoire de DNSEP option Art atelier Hors format;
MEM FON;23382041;16;Hotel des voyageurs;;Fontaine;Clémence;Tuteur de mémoire : Joachim Montessuis;2020;fre;;;;;;Haute école des arts du Rhin;;Artistes;;;;;Mémoire de DNSEP option Art atelier Phonon;
MEM MAR;23382053;16;Aux prises avec le dehors;;Markou;Elsa;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Théâtre;Théâtres de plein-air;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM MAI;23382065;16;Avant que votre estomac ne se vide;Black Metal & Peyotl, études de substances tansgressives;Maillot;Jules;Tuteur de mémoire : Nicolas Fourgeaud;2020;fre;;;;;;Haute école des arts du Rhin;;Transgression;Black metal;Peyotl;;;Mémoire de DNSEP option Art atelier No Name;
MEM FIR;23382077;16;Im-mobile;Pouvoir actif de l'inaction;Firmin;Laurine;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Gestes;Mobilité spatiale;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM CHA;23382089;16;Usage;Culture consommation magazine;Chardin;Léa;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Spectacles et divertissements;Culture et mondialisation;Art et écologie;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM MIC;23382090;16;Comme une respiration;;Michel;Margaux;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Théâtre;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM COR;23382106;16;Echanges croisés;;Cortes Ardila;Laura;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Cinéma et théâtre;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM VAL;23382118;16;Espaces de permissions;dans le quotidien et sur la scène;Valette;Clothilde;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Théâtre;Beau (philosophie);Création (esthétique);;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM BRO;2338212X;16;Histoire de Pied(s);;Broussard;Léa;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Théâtre;Pied;Français (langue);;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM JOL;23382179;16;Au noeud des mondes;;Joliclercq;Zoé;Tutrice de mémoire : Sandrine Israel Jost;2020;fre;;;;;;Haute école des arts du Rhin;;Céramique;Archéologie;Collectionneurs et collections;;;Mémoire de DNSEP option Art Objet, option Terre;
MEM LAS;23382192;16;Terrain de jeu;;Lasserre;Romane;Tuteur de mémoire : Thomas Voltzenlogel;2020;fre;;;;;;Haute école des arts du Rhin;;Céramique;Arts du spectacle;Collectionneurs et collections;;;Mémoire de DNSEP option Art Objet, option Terre;
MEM JAN;23382208;16;Sewer side;;Jans;Augustin;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Violence;;;;;Mémoire de DNSEP option Art Objet, option Bijou;
MEM MEM;2338221X;16;Ors du commun;ou la transmutation des trois fois rien;Même;Juliette;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Or;Matériaux;;;;Mémoire de DNSEP option Art Objet, option Bijou;
MEM FAN;23382221;16;? Qué onda ?;;Fantino;Marie;Tutrice de mémoire : Ilana Isehayek;2020;fre;;;;;;Haute école des arts du Rhin;;Céramique;;;Mexique;;Mémoire de DNSEP option Art Objet, option Terre;
MEM LEV;23382233;16;Lire le monde, habiter le livre;Quelles possibilités à l'heure du capitalisme globalisé ?;Levacher;Joseph;Tutrice de mémoire : Olivier Deloignon;2020;fre;;;;;;Haute école des arts du Rhin;;Livres;Goût de la lecture;Capitalisme;;;Mémoire de DNSEP option Art Objet, option Livre;
MEM BOU;23382245;16;Serrons-nous la main;Allongez votre bras en direction de votre interlocuteur. Si la personne est blessée à la main droite proposez votre main gauche. Rictus habituel (souriez);Boulestreau;Chloé;Sous la driection de Cyrille Bret et Lidwine Prolonge;2020;fre;;;;;;Haute école des arts du Rhin;;Récit;Culture matérielle;Objets usuels;;;Mémoire de DNSEP option Art Objet, option Livre;
MEM TOU;23382257;16;Anamnèse;;Toussaint;Davy;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Mémoire;Identité (psychologie);Société numérique;;;Mémoire de DNSEP option Art Objet, option Verre;
MEM COT;23382269;16;Peau à peaux;;Cotte;Valentine;Tutrice de mémoire : Anne Bertrand;2020;fre;Zhen, Chen (1955-2000);Clark, Lygia (1920-1988);Guilleminot, Marie-Ange (1960-....);;;Haute école des arts du Rhin;;Médecine et art;;;;;Mémoire de DNSEP option Art Objet, option Terre;
MEM BOY;23382270;16;Aucune poule ne doit mourir pour rien;;Boyer;Pierre;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Vide (philosophie);Solitude;Liberté;;;Mémoire de DNSEP option Art Objet, option Métal;
MEM CAB;23382282;16;*Cela ne se compare pas à la sensation de votre peau;;Cabel;Mahé;Tutrice de mémoire : Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;Théorie queer;Féminisme;Patriarcat (sociologie);Identité (psychologie);;Mémoire de DNSEP option Art Objet, option Verre;
MEM BOY;2338230X;16;Aucune poule ne doit mourir pour rien;;Boyer;Pierre;Tuteur de mémoire : Jean-François Gavoty;2020;fre;;;;;;Haute école des arts du Rhin;;Vide (philosophie);Solitude;Liberté;;;Mémoire de DNSEP option Art Objet, option Métal;
MEM DEH;23383238;16;Emprise à huis clos;;De Haese;Jimy;Mémoire dirigé par Salomé Risler;2020;fre;;;;;;;;Solitude;Intrigues (narration);;;;"Mémoire DNSEP Illustration année 2019/2020 
Le huis clos est un moyen d’agir physiquement et psychiquement sur le lecteur ou le spectateur. Il exacerbe les passions des personnages qui sont enfermés en son sein et ouvre une brèche sur leurs émotions. A la fois protecteur et manipulateur, ce dispositif demeure un acteur à part entière du récit et arbore, à l’instar de ses protagonistes, un double visage. Le huis clos s’impose ainsi comme une terre de faux-semblants, motivé par une problématique perverse d’emprise. ";
MEM WEB;2338324X;16;Recouvrement;révélations sur une disparition;Weber;Adrien;Mémoire dirigé par Samuel François;2020;fre;;;;;;;;Illustrations, images, etc.;Illustration des livres;;;;"Mémoire DNSEP Illustration année 2019/2020
De nombreux artistes ont utilisé la technique du recouvrement pour modifier la lecture d’une image. D’un aplat de peinture, l’artiste vient cacher un élément de l’image, à l’instar d’un astre venant occulter un autre. L’éclipse apparaît, la vision est altérée, l’image a changé. Une partie de la composition de l’image n’est plus visible. L’artiste cache volontairement à la vue, soustrait aux regards d’autrui, un élément de l’image originelle. Une information est passée sous silence. Une nouvelle image se lit. Qu’est ce que dévoile le recouvrement dans une image ? Les exemples sont tirés autant de la peinture (Gerhard Richter, Cyprien Gaillard, Flore Chemin), que de la photographie et du collage (John Baldessari, John Stezaker), de l’illustration (Jochen Gerner, Dominique Goblet et Kai Pfeiffer, Mathieu Renard) ou de projets d’empaquetage (Christo et Jeanne-Claude), mais dans un premier temps, il faut revenir sur l'histoire de la censure à travers le caviardage de l'image. ";
MEM LIS;23383251;16;Ecrire dessiner raconter dans un livre;;Lisacheva;Irina;Mémoire dirigé par Guillaume Chauchat;2020;fre;;;;;;;;Livres illustrés;;;;;"Mémoire DNSEP Illustration année 2019/2020
Nous avons des termes pour désigner les romans, les pièces de théâtre, les recueils de poèmes. C’est la partie de la bibliothèque qui contient peu d’illustrations. Nous avons également en tête à quoi ressemble un livre d’images : album jeunesse ou bande dessinée.Mais il sera question ici d’arpenter un rayon qui n’a pas d’étiquette. Des livres où le texte et l’image sont indissociables, entre le carnet de dessins et le journal intime, à la frontière de la poésie, de la bande dessinée et du roman. Des œuvres dans lesquelles l’écriture et le dessin pratiqués en parallèle forment un récit, où l’un et l’autre se répondent et s’influencent. Pour parler de ces éditions, nous allons employer un terme certes maladroit, mais intuitif : le livre écrit-dessiné. ";
MEM BOH;23383263;16;Le discours de l'ineffable;;Bohuon;Quentin;Mémoire dirigé par Guillaume Chauchat;2020;fre;;;;;;;;Illustrations, images, etc.;Livres illustrés;;;;Mémoire DNSEP Illustration année 2019/2020;
MEM FER;23383275;16;Grand Calme;une approche poétique dans la bande dessinée contemporaine;Ferrando;Clémence;Mémoire dirigé par Marianne Gayko-Roth;2020;fre;;;;;;;;Poésie;Lecture;Bandes dessinées;;;"Mémoire DNSEP Illustration année 2019/2020""
Quelle est cette étrange sensation que je ressens après la lecture de certaines bandes dessinées ? Qu’ont ces lectures en commun ? Des thématiques ? Des systèmes narratifs ? Des esthétiques ? Dans ce mémoire, je décris cette sensation qui me prends, parfois, un sentiment qui me semble léger et qui emporte mon esprit dans un autre espace. Ces lectures sont intimistes et atmosphériques : elles semblent user de de poétique pour narrer leurs histoires. En partant de ce sentiment d’aération, j’aborde différent moyen de se rendre disponible à être touché et sentir ce vide intérieur apaisant, un grand calme. ";
MEM PAR;23383287;16;Titre;Observations sur les titres et leur graphie dans les planches de bande dessinée de Töpffer à nos jours;Partouche;Elie;Mémoire dirigé par Salomé Risler;2020;fre;;;;;;;;Lettrage;Lettre (typographie);Bandes dessinées;;;Mémoire DNSEP Illustration année 2019/2020;
MEM LEV;23383991;16;Lire le monde, habiter le livre;Quelles possibilités à l'heure du capitalisme globalisé ?;Levacher;Joseph;Tuteur de mémoire : Olivier Deloignon;2021;fre;;;;;;Haute école des arts du Rhin;;Livres;Goût de la lecture;Capitalisme;;;Mémoire de DNSEP option Art Mention Objet, atelier Livre;
MEM ALB;23384003;16;Entre chien et loup;;Albouy;Martin;Tuteur de mémoire : Anne Bertrand;2021;fre;Beuys, Joseph (1921-1986);Pascali, Pino (1935-1968);Bouvier, Nicolas (1929-1998);;;Haute école des arts du Rhin;;Chamanisme;Bergers;;;;Mémoire de DNSEP option Art, mention Objet, atelier Métal;
MEM SOU;23387428;16;Mon mémoire dans la vraie vie;;Soulat;Margot;Mémoire dirigé par Muriel Boulier et Yvan Alagbé;2020;fre;;;;;;;;Fiction dans l'art;;;;;Mémoire DNSEP Illustration année 2019/2020;
MEM VIG;2338743X;16;Le savoir dans le 9e art;L'évolution de la bande dessinée scientifique du début du XXe siècle jusqu'à aujourd'hui.;Vigneron;Florence;Mémoire dirigé par Olivier Deloignon;2020;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;Sémiotique et bandes dessinées;Sciences;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle. Les bandes dessinées et les sciences font-elles bon ménage ? Entre la rigueur scientifique et le schéma narratif de la bande-dessinée, la combinaison semble compliquée... Pourtant ces dix dernières années, on voit fleurir un grand nombre de bandes dessinées traitant de thèmes comme la biologie, la physique, la chimie ou encore les mathématiques... A travers une analyse historique, je me suis intéressée à la façon dont s'est développé en BD scientifique. Entre les débuts du XXe siècle jusqu'à aujourd'hui en France, quels sont les éléments qui ont participés et participent à l'expansion de ces bandes dessinées scientifiques ?;
MEM SOU;23387441;16;Mon mémoire dans la vraie vie;;Soulat;Margot;Mémoire dirigé par Muriel Boulier et Yvan Alagbé;2020;fre;;;;;;;;Fiction dans l'art;;;;;Mémoire DNSEP Illustration année 2019/2020;
MEM RIG;23387465;16;Manipuler les mots pour construire le langage;Des jeux d'artistes pour s'emparer des mots de la langue française;Righini-Fleur;Léo;Mémoire dirigé par Alexandra Pignol;2020;fre;;;;;;Haute école des arts du Rhin;;Jeux linguistiques;Jeux littéraires;Enfants;;;"Mémoire de DNSEP option Communication, atelier de didactique visuelle.
Le langage défini son·sa locuteur·trice. Les mots nous permettent de nous exprimer, mais surtout d’échanger, de dialoguer et c’est dans cette interaction que nous construisons notre identité. Alors que notre rapport au langage écrit se détériore face à une société basée sur l’image et des technologies qui nous éloignent de la matérialité des mots, l’apprentissage du lire-écrire nécessite des approches interactives et émotionnelles pour sensibiliser les enfants à la langue française. Comment rendre ludique l’usage de la langue française pour permettre aux enfants en âge de lire de développer l’acquisition d’un langage construit ?Comment révéler la créativité de chacun·ne, lui donner les outils de se réapproprier les mots ? Quels moyens, quels supports et quelles médiations les artistes mettent en place pour proposer de nouvelles approches du langage écrit ? ";
MEM GOU;23387489;16;"De No Future!"" à ""Now Future""""";Les dynamiques de récupération d'une sous-culture, de la rébellion à l'institution : l'exemple du punk;Gouberville;Juliette de;Mémoire dirigé par Sandra Chamaret;2020;fre;;;;;;Haute école des arts du Rhin;;Punk (mouvement);Punk rock;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM TUR;23387506;16;Les mécanismes narratifs de la peur;;Turpault;Alexandre;Mémoire dirigé par Marianne Gayko-Roth;2020;fre;;;;;;;;Peur;Narration;;;;Mémoire DNSEP Illustration année 2019/2020;
MEM GRU;23387518;16;Donner corps à l'ailleurs;Les illustrations immersives des mondes extraterrestres dans les astronomies populaires du milieu du XIXe siècle au milieu du XXe siècle.;Grubert;Léonor;Mémoire dirigé par Olivier Deloignon;2020;fre;;;;;;Haute école des arts du Rhin;;Extraterrestres;Civilisation;Astronomie;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM SIE;2338752X;16;La vie islandaise;ou une enquête sur les possibles apparitions de l'auteur dans son récit;Sière;Anaïs;Mémoire dirigé par Olivier Deloignon;2020;fre;;;;;;;;Fiction dans l'art;Moi;;;;"Mémoire DNSEP Illustration année 2019/2020
La vie islandaise prend la forme d'un mémoire doublé d'une nouvelle, triplé par des extraits du journal d'enquête de l'auteur, sur l'idée de dédoublement par la fiction, de l'écriture de l'intime et de transformations de la réalité. ";
MEM CZA;23387531;16;Eduquons-nous !;Pratiques féministes d'auto-éducation à la sexualité sur l'internet francophone contemporain;CZAJKOWSKI;Claire;Mémoire dirigé par Anne Laforet;2020;fre;;;;;;Haute école des arts du Rhin;;Réseaux sociaux (Internet);Autoformation;Sexualité féminine;;;"Mémoire de DNSEP option Communication, atelier de didactique visuelle.
L'impératif « éduque-toi ! » revient quotidiennement de la part de militant·es [féministes] sur internet. Ce renvoi à une potentielle « ressource éducative féministe » me questionne ; quelle est elle ? Comment la trouver ? À quoi ressemble-t-elle ? Depuis quelques années, j'ai observé une forte croissance de la production de contenus « ressource » en matière de féminismes et de sexualités. Podcasts, blogs, vidéos, comptes Instagram... Se voulant directement –ou non– diffuseurs d'information. Afin de mieux cerner les caractéristiques et les enjeux actuels d'une auto-éducation féministe aux sexualités, j'analyse un échantillon de ces productions : qui produit quoi, avec quelle intention, sur quelle plateforme, etc... Le numérique, et particulièrement les réseaux sociaux, amènent de nouveaux paramètres d'interaction entre apprenants, créateur·ices et contenus, dans la construction et le partage de ce dernier. ";
