Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM ZER;23057267;16;3615 my life;L'écran comme miroir;Zertal;Melek;Tuteur de mémoire : Guillaume Dégé;2017;fre;;;;;;Haute école des arts du Rhin;;Héroïnes;Identification (psychologie);;;;Mémoire de DNSEP option Communication, atelier d'illustration;"Jeune, en regardant la télévision, les films au cinéma, en lisant les bandes dessinées empruntées à la bibliothèque, j’ai rarement trouvé à qui m’identifier. Moi, Melek, émigrée de la première génération, naturalisée française tardivement. La première chose que mes parents m’ont apprise, c’est qu’il faudra que je redouble d’efforts afin d’être dans la moyenne; être une fille et être étrangère sont considérés comme des points négatifs qu’il faudra rattraper. Et être moyenne ne suffit pas, il faut être meilleure. À l’image des femmes de ma famille, je n’ai pas arrêté de me battre, au sens propre comme au figuré. Mais dans aucune des fictions dans lesquelles je me retranchais je ne retrouvais de personnage qui me corresponde. Les personnages types comprennent la demoiselle en détresse, la fille populaire, la fille studieuse, la fille un peu potiche -souvent blonde. Dans les émissions de télévision ou dans les bandes dessinées un peu simplistes, on voit assez peu plusieurs de ces catégories regroupées dans un seul personnage. Et je ne parle même pas de représentation ethnique, car elle était inexistante. Je me rends compte que l’identification à des personnages visibles de manière récurrente dans la vie quotidienne, la culture populaire, permet de trouver une place dans la société, savoir que l’on est accepté en son sein. Le seul archétype de personnage auquel je réussissais à m’identifier, d’assez loin, était celui de la femme fatale. Beaucoup de choses m’en séparaient, bien sur, l’âge en premier, mais c’était le seul type de personnage qui m’évoquait un semblant d’admiration. Elles étaient dépeintes indépendantes avec un fort aval sur les personnages masculins. Elles avaient leur propre arbitre et ne dépendaient (d’apparemment) personne. Une fois la différence d’âge réduite, je me suis résolue à essayer de trouver d’autres types de personnages féminins à admirer, me rendant compte de la supercherie de la femme fatale. Souvent montrée comme une femme sensuelle, elle n’est supérieure à l’homme que par sa main-mise sur sa sexualité et son jeu sur le désir. Elle est sujette à la chair et à la passion, et n’est définie que par cela. Elle est, malgré les apparences, encore une fois dépendante de l’homme, et ne possède pas de vie propre en dehors de ce désir. Il existe bien entendu des personnages fictifs et des personnes réelles à qui ces réflexions ne collent pas. J’en ai découvert au fur et à mesure. Ce mémoire est un fil généalogique de figures féminines qui m’ont fait comprendre que je n’étais pas tout à fait seule. Liste bien entendu non exhaustive, elle comprend les personnages de Laura Palmer et Audrey Horne dans Twin Peaks de David Lynch et Mark Frost, le personnage de Dana Scully dans la série X-Files de Chris Carter, la rappeuse new-yorkaise Princess Nokia, et la photographe américaine Nan Goldin."
MEM VAN;23057279;16;Les animaux anthropomorphes dans la littérature jeunesse;;Van der Haeghen;Laure;Tuteur de mémoire : Guillaume Dégé;2017;fre;;;;;;Haute école des arts du Rhin;;Anthropomorphisme;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Ce mémoire a pour sujet les animaux anthropomorphes dans la littérature jeunesse, aussi bien dans les romans que les albums illustrés. Ces personnages étant constamment associés à l’univers de l’enfance dans notre culture contemporaine, j’en recherche ici les raisons. Comment ont-ils envahis les rayons jeunesse de nos librairies ?  Ont-ils une utilité précise ?  Qu’apportent-ils à l’enfant ? Sont-ils irremplaçables ?  Pour répondre à ces questions, j’ai étudié la représentation des animaux dans l’histoire, le rapport de l’homme avec ces autres êtres vivants (l’humanisation d’animaux, leur vénération et leurs utilisations en tant qu’outil, nourriture et compagnon), mais aussi la psychanalyse des enfants et leur rapport avec le récit (l’analyse de contes, de fables..)Tout ceci dans le but de trouver le/les lien(s) qu’ont les enfants avec les animaux et leurs représentations, comprendre pourquoi il nous est aujourd’hui logique de les associer les uns avec les autres, d’utiliser l’animal humanisé comme compagnon de l’enfant dans ses premières lectures.
MEM WIA;23057280;16;Motifs actifs;Rôle narratif et structurant des motifs en bande dessinée;Wiard;Aude;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;Répétition (esthétique);;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Cette étude se penche sur un élément ornemental : le motif. Dans un contexte de narration séquentielle, son rôle n’est pas essentiel à la compréhension globale du récit. Pourtant il existe, s’il est représenté par l’auteur, c’est bien qu’il a une fonction. Est-elle décorative, narrative, structurante?? La bande dessinée contemporaine regorge de petits trésors décorés, d’écrins foisonnants de symboles. Traits, points, feuilles, cheveux, lettres, tous peuplent les cases et se fondent dans le récit au fil des pages. Finalement, étudier le motif, c’est se questionner sur le maillage tissé par l’auteur pour entrainer le lecteur vers d’autres niveaux de lecture. C’est mettre en lumière les enjeux inaperçus de l’implication du lecteur dans l’art de l’ellipse.
MEM FER;23057292;16;Mignon oui ou non ?;La place et l'influence du personnage mignon dans les sociétés Sud-Coréennes et japonaise;Ferran;Diane de;Tutrice de mémoire : Salomé Risler;2017;fre;;;;;;Haute école des arts du Rhin;;Mascottes;Personnages fictifs;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM JOS;23057308;16;La peur;;Josset;Antoine;;2017;fre;;;;;;Haute école des arts du Rhin;;Peur;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Je suis quelqu’un de très peureux. Au début, je trouvais ça ennuyeux, maisavec le temps c’est devenu une habitude. J’ai pris goût à la peur et j’enarrive à espérer qu’elle ne me quitte jamais. D’ailleurs, je ne vois paspourquoi elle partirait, je ne fais pas grand-chose pour qu’elle me fuie. Aucontraire, je lui apporte beaucoup d'amour : je la dessine, je la filme, j’enfais des jeux. N’est-ce pas une belle preuve d'affection ? L’effroi est une émotion très désagréable. Mais dans la création, c’estl’émotion que je préfère.Toujours énigmatique, elle me fait chercher desindices autour et au fond de moi. Elle me permet de vivre des momentsinoubliables. Pourquoi est-ce que j’aime avoir peur ? Suis-je le seul à aimer cela ?Existe-t-il plusieurs types de peurs - certaines plus agréables que d’autres ?Ma réflexion va porter essentiellement sur les films et sur les jeux vidéo.Le XXIe siècle voit l’essor technique et commercial du jeu vidéo.  Médiumencore jeune, ses mécanismes de création ne cessent de s’enrichir, de seréinventer – même si le jeu vidéo tire un enseignement du cinéma que cesoit pour la mise en scène ou la construction du récit.Mais l’homme est-il capable de dompter ses émotions au point de s’enservir ? De nombreux créateurs que j’admire, de tous horizons et aussibien dans le domaine du cinéma que dans le jeu vidéo, savent l’utilisercomme matière première. Essayons d’étudier l’émotion terrible etmagnifique qu’est la peur, et l’utilisation que l’homme fait d’une émotionsi mystérieuse. 
MEM PAR;2305731X;16;L'étranger à l'étranger;;Park;Saehan;Tuteur de mémoire : Guillaume Dégé;2017;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;Exotisme;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Un mémoire de reflexion sur l'exotisme et l'auto-exotisme au sein de la bande-dessinée. Aujourd'hui tandis que la mondialisation submerge tous les niveaux de vie et met la diversité culturelle en question, comment réagissent les auteurs étrangers, qui travaillent à l'étranger ? Je poursuis dans ce mémoire mes expériences personnelles en tant que sujet et objet de l'exotisme.
MEM DER;23057321;16;Qu'est-ce qu'avoir une idée plastique en cinéma ?;;Derainne;André;Tuteurs de mémoire : Jérôme Thomas & Guillaume Dégé;2017;fre;;;;;;Haute école des arts du Rhin;;Cinéma;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Ce mémoire part du constat que visuellement, je trouve que les films se ressemblent de plus en plus. Il y a de films en films, une même façon de cadrer, un même éclairage, une même gamme de couleur, une profondeur de champ identique, à tel point qu’on pourrait parler d’une image type. Partant de la conférence Qu’est ce que l’acte de création?? de Gilles Deleuze où il se demandait?: «?qu’est ce que c’est que d’avoir une idée en cinéma???», je me questionne à mon tour : qu’est ce que c’est que d’avoir une idée plastique en cinéma?? Ce mémoire est construit en six temps : une présentation des outils d'enregistrement et de modification de l'image à la disposition des cinéastes, puis, cinq analyses de films qui me semblent illustrer une utilisation intéressante de l'image : Vertigo d'Hitchcock, Tabou de Miguel Gomes, Kaili Blues de Bi Gan, La vie moderne de Raymond Depardon et un parallèle entre Jean-Luc Godard et Alain Cavalier. 
MEM ESC;23057435;16;Quand les mots se croisent;Pour un apprentissage visuel & ludique des langues étrangères;Escoriza;Julie;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;Langues vivantes;;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle. Mémoire imprimé en 2016 pour le diplôme 2017.;Peut-on atte?nuer nos complexes pour apprendre et pratiquer une langue e?trange?re de fac?on intuitive et ludique ? Quel travail peut e?tre fait dans le domaine de la didactique visuelle pour participer a? cet objectif ?  Dans ce mémoire, je tente dans un premier temps de comprendre en quoi consiste re?ellement le processus d’apprentissage d’une langue e?trange?re : j'y fais le point sur les capacite?s mises en jeu, les conditions et facteurs qui peuvent l’influencer et les difficulte?s auxquelles on peut e?tre confronte?.  Je m'intéresse ensuite aux supports d’apprentissage et mets en avant la façon dont ils peuvent accompagner et appuyer l’apprenant dans son parcours. J'analyse de quelle fac?on le son, l’image, l’objet et leur utilisation, renouvele?e par les technologies actuelles, peuvent contribuer a? rendre plus tangible, ludique et stimulant le processus d’acquisition d’une langue.  Enfin, je me concentre sur le jeu et cherche a? comprendre comment, face aux difficulte?s de l’expression, il peut aider a? de?complexer l’utilisation d’une langue. En organisant ma recherche autour de diffe?rents types d’activite?s ludiques, j'en de?gage les avantages et difficulte?s dans un contexte pe?dagogique.  
MEM DUB;23057447;16;Images et communication à l'hôpital;L'utilisation d'illustrations médicales et de bandes dessinées pour mieux communiquer entre soignants et soignés;Dubois;Marion;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;Illustration médicale;Médecine;Hôpital;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle. Mémoire imprimé en 2016 pour le diplôme 2017.;Images et communication à l’hôpital. L’utilisation d’illustrations médicales et de bandes dessinées pour mieux communiquer entre soignants et soignés. Ce mémoire est consacré à la place des images dans la communication soignant-soigné à l’hôpital. J’ai analysé en particulier deux types de supports : les illustrations médicales, souvent réalisées avec une volonté d’objectivité, et les bandes dessinées autopathographiques, qui constituent des témoignages subjectifs sur la maladie et l’hospitalisation.  La première partie explique pourquoi et comment les images permettent aux médecins d’expliquer les informations médicales aux patients.  Grâce à des exemples de livres illustrés pour enfants et de bandes dessinées se déroulant à l’hôpital, la deuxième partie montre que le patient a des moyens de se préparer à l’univers hospitalier et de mieux connaître ceux qui y travaillent. Enfin, dans la troisième partie, j’analyse trois bandes dessinées qui font intervenir la subjectivité du malade et qui peuvent aider les patients et leurs médecins à mieux communiquer. 
MEM NAG;23057459;16;Graine de communication;;Nagy;Eve;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;Agriculture;Agriculture biologique;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle. Mémoire imprimé en 2016 pour le diplôme 2017.;
